"state_name","district_label","district_number","representative","party","total_applicants","total_funding","funding_per_applicant","n_zips","disaster_numbers","NAMELSAD","STATEFP"
"Illinois","Illinois District 9",9,"Jan Schakowsky","Democratic",1006,2068357.9,2056.0217693837,18,"4728,4749,4819","Congressional District 9","17"
"Illinois","Illinois District 10",10,"Brad Schneider","Democratic",66,43342.44,656.703636363636,5,"4728,4749,4819","Congressional District 10","17"
"Illinois","Illinois District 11",11,"Bill Foster","Democratic",282,632594.54,2243.24304964539,7,"4728,4749,4819","Congressional District 11","17"
"Illinois","Illinois District 12",12,"Mike Bost","Republican",3788,9633478.28,2543.15688489968,29,"4676,4819","Congressional District 12","17"
"Illinois","Illinois District 13",13,"Nikki Budzinski","Democratic",15187,50012102.05,3293.08632712188,14,"4676,4819","Congressional District 13","17"
"Illinois","Illinois District 14",14,"Lauren Underwood","Democratic",1853,2111548.54,1139.52970318403,15,"4728,4819","Congressional District 14","17"
"Illinois","Illinois District 15",15,"Mary Miller","Republican",60,248270.24,4137.83733333333,8,"4676,4819","Congressional District 15","17"
"Illinois","Illinois District 16",16,"Darin LaHood","Republican",1658,2534558.98,1528.68454764777,21,"4819","Congressional District 16","17"
"Illinois","Illinois District 17",17,"Eric Sorensen","Democratic",1891,4043761.05,2138.42466948704,21,"4819","Congressional District 17","17"
"Indiana","Indiana District 1",1,"Frank J. Mrvan","Democratic",832,417805.58,502.170168269231,25,"4671,4704","Congressional District 1","18"
"Indiana","Indiana District 2",2,"Rudy Yakym","Republican",0,0,NA,0,NA,"Congressional District 2","18"
"Indiana","Indiana District 3",3,"Marlin Stutzman","Republican",331,267549.54,808.306767371601,24,"4704","Congressional District 3","18"
"Indiana","Indiana District 4",4,"Jim Baird","Republican",424,263568.64,621.624150943396,26,"4704","Congressional District 4","18"
"Indiana","Indiana District 5",5,"Victoria Spartz","Republican",223,227137.48,1018.55372197309,12,"4586,4704","Congressional District 5","18"
"Indiana","Indiana District 6",6,"Jefferson Shreve","Republican",320,119848.63,374.52696875,9,"4704","Congressional District 6","18"
"Indiana","Indiana District 7",7,"André Carson","Democratic",1,225.33,225.33,1,"4704","Congressional District 7","18"
"Indiana","Indiana District 8",8,"Mark Messmer","Republican",330,1328447.7,4025.59909090909,13,"4704","Congressional District 8","18"
"Indiana","Indiana District 9",9,"Erin Houchin","Republican",50,11491.09,229.8218,9,"4614,4704","Congressional District 9","18"
"Iowa","Iowa District 1",1,"Mariannette Miller-Meeks","Republican",494,1770732.17,3584.47807692308,28,"4784,4796","Congressional District 1","19"
"Iowa","Iowa District 2",2,"Ashley Hinson","Republican",1,300,300,1,"4784","Congressional District 2","19"
"Iowa","Iowa District 3",3,"Zach Nunn","Republican",1674,2544164.7,1519.81164874552,61,"4779,4784","Congressional District 3","19"
"Iowa","Iowa District 4",4,"Randy Feenstra","Republican",7981,66124730.86,8285.26887106879,149,"4671,4778,4779,4784,4796,4807","Congressional District 4","19"
"Kansas","Kansas District 1",1,"Tracey Mann","Republican",1,0,0,1,"4671","Congressional District 1","20"
"Kansas","Kansas District 2",2,"Derek Schmidt","Republican",4,1586.25,396.5625,4,"4671,4728,4749","Congressional District 2","20"
"Kansas","Kansas District 3",3,"Sharice Davids","Democratic",2,700,350,2,"4671","Congressional District 3","20"
"Kansas","Kansas District 4",4,"Ron Estes","Republican",0,0,NA,0,NA,"Congressional District 4","20"
